"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"LCN2",0,2.04714654282963,0.996,0.9,0,"0","LCN2"
"CEACAM6",0,1.86156755749209,0.993,0.884,0,"0","CEACAM6"
"TSPAN8",0,1.85637324392698,0.991,0.782,0,"0","TSPAN8"
"AGR2",0,1.75313361663942,0.984,0.731,0,"0","AGR2"
"S100A6",0,1.6400502065748,1,0.975,0,"0","S100A6"
"WFDC2",0,1.59833514221295,0.984,0.839,0,"0","WFDC2"
"CEACAM5",0,1.57638119150989,0.964,0.88,0,"0","CEACAM5"
"ATP1B1",0,1.57410720327372,0.991,0.809,0,"0","ATP1B1"
"TM4SF4",0,1.56589151610915,0.956,0.733,0,"0","TM4SF4"
"SPINK1",0,1.56113538896409,0.97,0.727,0,"0","SPINK1"
"SLPI",0,1.54200150252174,0.988,0.874,0,"0","SLPI"
"S100P",0,1.52878675272195,0.994,0.892,0,"0","S100P"
"IFI27",0,1.5093849003301,0.999,0.91,0,"0","IFI27"
"KRT19",0,1.50843959115517,0.999,0.858,0,"0","KRT19"
"MMP7",0,1.48962890230278,0.975,0.775,0,"0","MMP7"
"ELF3",0,1.48901864362072,0.988,0.806,0,"0","ELF3"
"FXYD3",0,1.48415312327567,0.994,0.854,0,"0","FXYD3"
"LGALS4",0,1.48056355877731,0.967,0.722,0,"0","LGALS4"
"MUC1",0,1.46860871754252,0.983,0.75,0,"0","MUC1"
"KRT8",0,1.37511224874529,0.989,0.803,0,"0","KRT8"
"SPINT2",0,1.36500157210764,0.997,0.842,0,"0","SPINT2"
"TM4SF1",0,1.36344746264835,0.998,0.924,0,"0","TM4SF1"
"TFF3",0,1.31341526980137,0.876,0.648,0,"0","TFF3"
"PSCA",0,1.30801677733262,0.893,0.76,0,"0","PSCA"
"PDZK1IP1",0,1.30493581713807,0.972,0.769,0,"0","PDZK1IP1"
"TSPAN1",0,1.29841511576959,0.971,0.753,0,"0","TSPAN1"
"GPX2",0,1.28380715739731,0.937,0.778,0,"0","GPX2"
"CYSTM1",0,1.28199860096863,0.978,0.805,0,"0","CYSTM1"
"S100A14",0,1.26385667562337,0.99,0.88,0,"0","S100A14"
"LGALS3",0,1.23022685658681,0.999,0.922,0,"0","LGALS3"
"TFF1",0,1.21228468958657,0.856,0.591,0,"0","TFF1"
"MAL2",0,1.19459741364123,0.987,0.842,0,"0","MAL2"
"PHLDA2",0,1.18677397901579,0.982,0.871,0,"0","PHLDA2"
"GSTP1",0,1.18419506202877,0.998,0.883,0,"0","GSTP1"
"MUC5B",0,1.17060646600962,0.947,0.785,0,"0","MUC5B"
"AGR3",0,1.15718557711263,0.951,0.783,0,"0","AGR3"
"ANXA4",0,1.15649494183171,0.976,0.756,0,"0","ANXA4"
"CP",0,1.1524485803449,0.94,0.757,0,"0","CP"
"DSG2",0,1.13522777915457,0.993,0.92,0,"0","DSG2"
"CLDN4",0,1.12647399505975,0.972,0.718,0,"0","CLDN4"
"MSMO1",0,1.12455980396456,0.979,0.819,0,"0","MSMO1"
"C19orf33",0,1.11921249951599,0.993,0.865,0,"0","C19orf33"
"MUC13",0,1.11537724146941,0.956,0.831,0,"0","MUC13"
"KRT18",0,1.10089340005769,0.978,0.748,0,"0","KRT18"
"EFNA1",0,1.09377422719317,0.966,0.874,0,"0","EFNA1"
"MDK",0,1.0872318462345,0.984,0.829,0,"0","MDK"
"TCN1",0,1.07073504277016,0.965,0.871,0,"0","TCN1"
"NQO1",0,1.04481632390827,0.948,0.697,0,"0","NQO1"
"CTSE",0,1.04159115968484,0.929,0.733,0,"0","CTSE"
"DHRS9",0,1.03877828046815,0.951,0.846,0,"0","DHRS9"
"CAMK2N1",0,1.03762586780289,0.956,0.74,0,"0","CAMK2N1"
"CYP3A5",0,1.02897454858428,0.93,0.757,0,"0","CYP3A5"
"LMO7",0,1.01835782067453,0.982,0.876,0,"0","LMO7"
"PERP",0,1.01030779333533,0.984,0.8,0,"0","PERP"
"HMGCS1",0,1.00952018418406,0.965,0.83,0,"0","HMGCS1"
"GPRC5A",0,1.00561651237304,0.965,0.812,0,"0","GPRC5A"
"SMIM22",0,0.999292312400288,0.946,0.755,0,"0","SMIM22"
"LAMB3",0,0.992881204757656,0.99,0.916,0,"0","LAMB3"
"TACSTD2",0,0.990535120072821,0.945,0.798,0,"0","TACSTD2"
"S100A10",0,0.986874544528825,0.999,0.969,0,"0","S100A10"
"CLDN7",0,0.980804001350497,0.961,0.768,0,"0","CLDN7"
"S100A16",0,0.956536061781553,0.98,0.85,0,"0","S100A16"
"IFI6",0,0.93695853512439,0.991,0.902,0,"0","IFI6"
"TMC5",0,0.934203516943097,0.92,0.759,0,"0","TMC5"
"ERO1A",0,0.929580621776894,0.984,0.881,0,"0","ERO1A"
"SQLE",0,0.929415891773515,0.957,0.768,0,"0","SQLE"
"TESC",0,0.925377313089014,0.956,0.73,0,"0","TESC"
"PLS1",0,0.923261248988856,0.934,0.753,0,"0","PLS1"
"KLK11",0,0.90696825201471,0.954,0.838,0,"0","KLK11"
"DSC2",0,0.905112995886637,0.972,0.875,0,"0","DSC2"
"CLDN10",0,0.904693137665512,0.933,0.774,0,"0","CLDN10"
"MUCL3",0,0.893814452256643,0.886,0.836,0,"0","MUCL3"
"MUC5AC",0,0.881417836326685,0.759,0.538,0,"0","MUC5AC"
"GOLM1",0,0.877832374045462,0.932,0.769,0,"0","GOLM1"
"SERPINA3",0,0.873218305170118,0.978,0.909,0,"0","SERPINA3"
"OCIAD2",0,0.871271742748501,0.981,0.769,0,"0","OCIAD2"
"CRABP2",0,0.870959460229288,0.969,0.862,0,"0","CRABP2"
"PRSS8",0,0.870735130161243,0.936,0.784,0,"0","PRSS8"
"MARCKSL1",0,0.866097458314842,0.918,0.682,0,"0","MARCKSL1"
"SLC40A1",0,0.861226115023748,0.912,0.721,0,"0","SLC40A1"
"TMPRSS4",0,0.859477353122259,0.922,0.82,0,"0","TMPRSS4"
"SFN",0,0.858432536849899,0.938,0.775,0,"0","SFN"
"CYP51A1",0,0.8582203600477,0.956,0.791,0,"0","CYP51A1"
"MGST1",0,0.846231220099182,0.959,0.798,0,"0","MGST1"
"CD24",0,0.844288425628645,0.929,0.704,0,"0","CD24"
"RAB25",0,0.836123156861279,0.912,0.71,0,"0","RAB25"
"RARRES1",0,0.836058601372638,0.936,0.84,0,"0","RARRES1"
"ITGA6",0,0.827185991296518,0.979,0.834,0,"0","ITGA6"
"TMEM265",0,0.820695167399564,0.973,0.796,0,"0","TMEM265"
"MUC20",0,0.816986135296501,0.928,0.727,0,"0","MUC20"
"SDCBP2",0,0.810972235288848,0.93,0.774,0,"0","SDCBP2"
"RAB11FIP1",0,0.809433830085704,0.977,0.875,0,"0","RAB11FIP1"
"DUOX2",0,0.798602021528452,0.886,0.709,0,"0","DUOX2"
"APOL1",0,0.795539019360353,0.932,0.676,0,"0","APOL1"
"ALDH1A1",0,0.795141843246496,0.939,0.79,0,"0","ALDH1A1"
"EGLN3",0,0.794820692416871,0.891,0.79,0,"0","EGLN3"
"KRT7",0,0.79119729058621,0.971,0.795,0,"0","KRT7"
"LAD1",0,0.789904379488762,0.935,0.821,0,"0","LAD1"
"GCNT3",0,0.787164641967413,0.911,0.757,0,"0","GCNT3"
"MIA",0,0.783190553122059,0.898,0.724,0,"0","MIA"
"SDC1",0,0.776573817709941,0.941,0.823,0,"0","SDC1"
"KCNK1",0,0.775661801207515,0.93,0.78,0,"0","KCNK1"
"ABHD17C",0,0.773097972972107,0.959,0.84,0,"0","ABHD17C"
"AQP5",0,0.771248006976643,0.916,0.742,0,"0","AQP5"
"CDH1",0,0.758411727864064,0.919,0.783,0,"0","CDH1"
"TMEM238",0,0.753894316309059,0.92,0.664,0,"0","TMEM238"
"TSC22D1",0,0.749014786117023,0.984,0.889,0,"0","TSC22D1"
